_time;Power_SP1;Power_X1;Power_Y1;Power_Z1;Total_power;actual_Speed_SP1;actual_Speed_X1;actual_Speed_Y1;actual_Speed_Z1;Torque_SP1;Torque_X1;Torque_Y1;Torque_Z1;NCProgram;Pressure;dictID
2023-01-11T15:02:59.049Z;0.0;0.0;0.0;0.0;0.0;0.054316;7.3e-05;0.00804;0.005183;0.004026;0.289586;0.017285;9.038482;_N_DEMO_UC_3_7_MPF;0;nan
2023-01-11T15:03:03.957Z;0.0;0.0;0.0;3e-06;3e-06;0.024179;0.012913;0.004717;1.5e-05;0.014027;0.288437;0.01679;9.03881;_N_DEMO_UC_3_7_MPF;0;nan
2023-01-11T15:03:08.883Z;0.0;0.0;0.0;0.0;0.0;3.4e-05;0.002237;0.002888;0.002423;0.00532;0.287269;0.017647;9.035583;_N_DEMO_UC_3_7_MPF;0;nan
2023-01-11T15:03:13.931Z;0.0;0.0;0.0;1e-06;1e-06;0.004546;0.007589;0.000252;0.00439;0.003458;0.289668;0.016258;9.035148;_N_DEMO_UC_3_7_MPF;0;nan
2023-01-11T15:03:18.978Z;0.0;1e-06;0.0;0.0;1e-06;0.020067;0.002137;0.004437;0.000957;0.086815;0.28628;0.017523;9.890115;_N_DEMO_UC_3_7_MPF;0;nan
2023-01-11T15:03:24.315Z;0.0;0.0;0.0;3e-06;3e-06;0.014903;0.004649;0.000545;0.011024;0.006789;0.237721;0.412441;10.062321;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:03:29.367Z;1.567365;0.103071;0.532489;0.0;2.2029249999999996;1103.069702;0.015643;0.030375;1499.924072;9.245989;0.314859;0.333672;12.131217;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:03:34.267Z;2.961888;0.0;0.0;8.8e-05;2.961976;4110.028809;0.005711;0.03401;0.136939;6.614657;0.359333;0.356646;8.412724;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:03:39.275Z;0.732567;0.0;0.0;1.1e-05;0.732578;6698.680176;0.001229;0.032591;0.001949;1.000876;0.345019;0.34904;8.499558;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:03:44.227Z;1.204049;0.010683;0.0;1.9e-05;1.214751;6699.37207;85.217545;0.055948;0.009546;1.83938;1.204809;0.362033;8.682372;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:03:49.662Z;1.257607;0.009625;0.0;0.0;1.267232;6699.746582;84.859459;0.0322;0.01899;1.862164;1.082015;0.377507;8.672637;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:03:54.375Z;1.375376;0.010215;0.0;2.9e-05;1.38562;6699.657227;84.893478;0.042709;0.017739;1.87007;1.128309;0.353509;8.639287;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:03:59.337Z;0.906537;0.0;0.00823;0.0;0.914767;6699.422363;0.001451;85.030479;0.008883;1.449174;0.417054;0.917835;8.71905;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:04.311Z;1.206158;0.009827;1e-06;0.0;1.215986;6700.090332;84.99192;0.014422;0.005046;1.806892;1.11989;0.307949;8.692789;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:09.279Z;1.252393;0.009447;0.0;2e-05;1.26186;6698.965332;85.060577;0.049049;0.018655;1.758613;1.095149;0.31435;8.718194;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:14.279Z;0.70035;0.009811;0.0;2e-06;0.710163;6698.964844;85.095802;0.001185;0.014444;0.916503;1.077419;0.339424;8.730294;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:19.239Z;0.668843;0.003279;0.007292;2e-06;0.6794159999999999;6699.879395;17.918221;82.98391;0.000197;1.031853;0.819843;0.909425;8.638453;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:24.253Z;1.423401;0.010134;0.0;2.4e-05;1.433559;6700.000977;85.055298;0.052508;0.023216;2.134503;1.117112;0.498292;8.6029;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:29.261Z;1.414222;0.009646;0.0;0.0;1.4238680000000001;6698.554199;85.320427;0.029901;0.005818;2.110868;1.107409;0.493266;8.684649;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:34.392Z;0.712981;0.008963;0.001967;5e-06;0.7239160000000001;6701.233887;84.962067;0.009464;0.007134;0.924359;1.095063;0.736549;8.684474;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:39.416Z;1.378105;0.008376;0.002942;0.0;1.3894229999999999;6699.887207;58.484612;62.309753;0.005547;1.637841;1.102496;0.775496;8.675928;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:44.440Z;1.302416;0.009546;0.0;0.0;1.311962;6700.799805;84.655319;0.022311;0.028019;1.939357;1.09368;0.383594;8.676522;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:49.385Z;1.402359;0.009475;1e-06;3e-05;1.4118649999999997;6699.553223;84.812889;0.056934;0.014694;1.953459;1.109701;0.397415;8.64655;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:54.430Z;0.750981;0.009548;0.0;1.4e-05;0.760543;6699.589844;84.524872;0.044009;0.019825;0.954805;1.056599;0.425395;8.704363;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:04:59.434Z;0.971219;0.010562;1e-06;0.0;0.981782;6700.094727;90.094124;0.063027;0.024671;1.23383;1.122316;0.356278;8.636286;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:04.454Z;0.983807;0.009746;0.0;7e-06;0.99356;6699.691406;90.024353;0.009586;0.016097;1.390695;1.063822;0.34522;8.649611;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:09.423Z;0.667575;0.010206;0.0;0.0;0.6777810000000001;6699.158691;90.310852;0.021759;0.005658;1.095227;1.034437;0.359353;8.678056;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:14.553Z;0.981137;0.009971;3e-06;2e-06;0.9911129999999999;6699.846191;90.367416;0.009543;0.017183;1.366238;1.103612;0.300661;8.666749;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:19.530Z;1.013198;0.010246;0.0;0.0;1.023444;6700.197754;90.001228;0.013371;0.001743;1.385518;1.08874;0.293708;8.63307;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:24.468Z;0.671661;0.010175;3e-06;0.0;0.681839;6699.589355;90.178673;0.046624;0.017697;1.002394;1.11236;0.28487;8.693227;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:29.586Z;0.952737;0.010004;0.0;0.0;0.962741;6700.880859;90.105217;0.013176;0.005348;1.323879;1.108058;0.36469;8.671339;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:34.538Z;1.039719;0.009701;0.0;0.0;1.04942;6699.185059;90.344925;0.004036;0.022308;1.354513;1.053505;0.355794;8.653414;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:39.424Z;0.880109;0.0;0.008411;5e-06;0.888525;6699.575684;0.147345;89.813148;0.008826;1.165286;0.385609;0.882576;8.701905;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:44.859Z;0.981112;0.010249;4e-06;4.8e-05;0.991413;6699.717285;90.192596;0.007814;0.002807;1.435227;1.09305;0.365943;8.65561;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:49.507Z;0.990192;0.010557;0.0;1.7e-05;1.0007659999999998;6700.039551;89.52182;0.030399;0.023355;1.452506;1.162615;0.353506;8.66986;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:54.516Z;0.964498;0.010742;0.0;0.0;0.97524;6700.118164;0.035229;81.143021;0.016819;1.391221;1.071641;0.354448;8.680535;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:05:59.476Z;0.959039;0.010276;0.0;0.0;0.9693149999999999;6701.385742;89.865936;0.037066;0.020441;1.363148;1.077217;0.34856;8.667994;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:04.569Z;0.730482;0.010083;0.0;0.0;0.7405649999999999;6700.748535;89.666122;0.010314;0.008131;1.090446;1.046278;0.338204;8.667495;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:09.524Z;0.753947;0.010265;1e-06;0.0;0.764213;6699.933594;89.902512;0.004805;0.014639;1.041073;1.041761;0.355436;8.670534;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:14.644Z;0.874544;0.010016;1e-06;8e-06;0.884569;6700.350098;90.072899;0.00106;0.01424;1.133433;1.079362;0.349171;8.667509;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:19.572Z;0.741507;0.010161;0.0;1.6e-05;0.751684;6699.947266;90.023064;0.00559;0.037085;1.146706;1.053427;0.342325;8.684432;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:24.522Z;0.606287;0.009922;9.1e-05;6e-06;0.6163059999999999;6701.394043;89.933907;0.006932;0.010396;0.935421;0.488937;4.288399;8.710971;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:29.605Z;0.77849;0.01008;0.0;0.0;0.78857;6701.708008;90.159851;0.003037;0.008018;1.102143;1.068351;0.329668;8.68353;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:34.565Z;0.791309;0.010628;1e-06;0.0;0.801938;6700.018555;89.977554;0.014395;0.00437;1.102673;1.11073;0.331265;8.686753;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:39.714Z;0.682791;0.010393;0.0;1.2e-05;0.693196;6700.553223;89.846024;0.00557;0.007557;0.8729;1.093104;0.331349;8.700484;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:44.509Z;0.759563;0.010308;0.0;0.0;0.769871;6701.194824;90.149902;0.01966;0.021631;1.086471;1.082958;0.376298;8.694412;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:49.565Z;0.838509;0.009895;1e-06;1.5e-05;0.84842;6700.020996;90.156013;0.011151;0.015015;1.065562;1.059081;0.371831;8.708091;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:54.575Z;0.633236;0.01047;0.0;0.0;0.643706;6699.392578;90.020599;0.013572;0.045039;0.941981;1.083346;0.365166;8.700393;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:06:59.509Z;0.813146;0.01074;0.0;0.0;0.823886;6701.75293;90.168716;0.023176;0.002131;1.183153;1.096909;0.41279;8.68034;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:04.543Z;0.821131;0.010549;0.0;0.0;0.8316800000000001;6700.197754;90.209267;0.010813;0.000125;1.137987;1.106837;0.409804;8.69084;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:09.643Z;0.64803;0.010689;0.0;1.8e-05;0.6587369999999999;6700.26709;90.081551;0.006867;0.008211;0.942362;1.122983;0.4115;8.724064;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:14.588Z;0.842047;0.010139;0.0;3.3e-05;0.852219;6699.936523;89.920792;0.012702;0.000258;1.088473;1.145447;0.380315;8.70027;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:19.596Z;0.768529;0.010044;1e-06;0.0;0.7785740000000001;6699.736816;89.946465;0.018794;0.031455;1.250754;1.053363;0.37855;8.720706;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:24.572Z;0.721665;0.010132;0.0;0.0;0.731797;6699.610352;89.958305;0.018736;0.007597;1.172351;1.059156;0.371811;8.722001;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:29.612Z;0.0;0.0;0.0;0.23699;0.23699;6699.879883;0.076652;0.011034;215.293396;0.874218;0.343178;0.375888;12.183388;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:34.531Z;0.0;0.0;0.0;0.0;0.0;4016.310791;0.03413;0.02818;0.028596;3.610153;0.349332;0.367541;9.866549;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:39.535Z;0.0;0.0;0.0;0.0;0.0;1051.398071;0.029201;0.007643;0.007719;1.994263;0.348957;0.363241;9.831747;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:44.842Z;0.0;0.0;0.0;0.0;0.0;0.114643;0.017027;0.001662;0.00145;0.024667;0.015596;0.014562;0.284619;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:49.462Z;0.0;0.0;0.0;1e-06;1e-06;0.027486;0.003823;0.009432;0.002867;0.004268;0.374533;0.382843;9.849037;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:54.632Z;2.04341;3e-06;0.0;0.0;2.043413;2070.9375;0.002463;0.012342;0.003672;7.985271;0.361247;0.370801;8.637549;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:07:59.656Z;3.52531;0.0;0.0;0.0;3.52531;5061.867188;0.022357;0.013632;0.038792;6.107819;0.35378;0.366308;8.670947;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:04.552Z;5.272362;1e-06;0.0;2.7e-05;5.272390000000001;8088.045898;0.025848;0.007271;0.092973;6.1269;0.355828;0.359912;8.726827;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:09.632Z;0.760066;0.0;0.0;0.0;0.760066;9499.238281;0.046121;0.012599;548.116577;0.987814;0.347622;0.381555;7.125863;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:14.544Z;0.832548;0.008222;0.003737;1.2e-05;0.8445189999999999;9499.753906;84.563568;11.436606;0.063056;1.110622;1.085564;0.735845;8.686475;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:19.654Z;0.89329;0.006883;0.007004;1.3e-05;0.90719;9499.522461;65.277069;75.847565;0.017554;1.012386;1.020929;0.930069;8.695436;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:24.549Z;0.869944;0.130073;0.000458;0.0;1.0004750000000002;9500.788086;64.905464;75.963135;0.008044;0.936557;1.028265;0.879168;8.701327;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:29.543Z;0.878386;0.00465;0.008265;0.0;0.891301;9500.739258;2.106745;208.267334;0.003541;0.638358;0.825927;0.910269;8.691576;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:34.599Z;0.764912;0.007271;0.006678;2.6e-05;0.778887;9500.199219;70.733887;70.674759;0.050615;0.868808;1.022955;0.894614;8.712171;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:39.719Z;0.803669;0.003824;0.007581;1.5e-05;0.815089;9500.520508;131.897095;281.013977;0.010349;0.746185;0.414165;1.445476;8.735497;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:44.639Z;1.059273;0.007331;0.006166;0.0;1.0727699999999998;9498.111328;82.301819;59.972736;0.002665;0.983495;0.939994;0.824497;8.742679;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:49.570Z;0.76768;0.005906;0.000281;0.0;0.773867;9499.724609;98.164856;12.970157;0.000476;0.876845;0.415999;0.663563;10.65562;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:54.623Z;1.035594;0.006635;0.007158;0.0;1.0493869999999998;9500.681641;124.627365;21.728138;0.013002;0.989045;0.984557;0.876655;8.707696;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:08:59.856Z;0.939243;0.006838;0.006886;0.0;0.952967;9499.825195;65.033257;75.889694;0.027534;0.865946;1.007837;0.846766;8.74176;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:04.561Z;0.769707;0.007356;0.006062;1e-06;0.7831260000000001;9499.712891;70.81385;70.686668;0.026918;0.780264;0.968988;0.868068;8.768351;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:09.624Z;1.016129;0.010777;0.00265;0.0;1.0295560000000001;9499.336914;97.582031;19.61227;0.011669;0.930686;1.145583;0.037406;8.645423;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:14.747Z;0.861731;0.006692;0.006933;0.0;0.875356;9499.828125;65.116417;75.86763;0.008288;0.868666;0.963709;0.942961;8.724427;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:19.692Z;0.85905;0.195746;0.000579;2.6e-05;1.0554010000000003;9500.833984;65.008255;76.010574;0.004081;0.71809;0.934229;0.859319;8.738923;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:24.833Z;0.661299;0.006257;0.007804;1.3e-05;0.675373;9499.583008;5.038706;198.810608;0.007441;0.68088;0.807228;0.876691;8.728721;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:29.681Z;0.790894;0.007535;0.007229;0.0;0.805658;9501.270508;70.86338;70.666748;0.022216;0.904475;1.026356;0.915184;8.603736;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:34.690Z;0.844316;0.001168;0.0;0.0;0.8454839999999999;9499.894531;98.101631;108.061424;0.034635;0.834123;0.526279;5.085303;8.635825;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:39.692Z;0.927163;0.007099;0.006114;0.0;0.9403759999999999;9499.329102;92.918228;49.562386;0.029077;1.007365;0.914478;0.824876;8.644421;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:45.122Z;0.895506;0.002507;0.004774;0.0;0.902787;9499.68457;95.84227;24.459679;0.009281;0.913469;0.908121;0.817012;11.514509;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:49.731Z;0.962027;0.006628;0.006835;3.8e-05;0.975528;9499.415039;773.57074;0.044589;0.010552;1.012376;0.88543;0.832463;8.76044;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:54.721Z;1.123521;0.006707;0.006752;5.3e-05;1.1370330000000002;9500.256836;65.140968;75.921501;0.020342;1.093226;1.007241;0.837896;8.782145;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:09:59.738Z;0.908723;0.007324;0.00621;1e-05;0.922267;9500.8125;70.878593;70.63385;0.00247;0.694163;0.965511;0.868295;8.731272;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:04.786Z;0.933168;0.011682;0.001349;1e-05;0.946209;9499.478516;88.520126;43.001141;0.033205;0.692858;1.112496;0.707522;8.6998;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:09.749Z;0.897944;0.006608;0.00736;0.0;0.911912;9501.064453;65.084404;76.011337;0.020225;0.824212;0.9822;0.879601;8.707504;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:14.707Z;0.864516;0.006477;0.006747;0.0;0.8777399999999999;9498.181641;65.062302;75.909561;0.022339;0.818465;0.941962;0.861744;8.743396;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:19.686Z;0.730623;0.001855;0.009122;1.1e-05;0.741611;9499.673828;5.844047;1289.862427;0.031503;0.871816;0.401838;2.505856;8.773647;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:24.699Z;0.790871;0.007631;0.006813;4.4e-05;0.805359;9500.571289;72.479141;70.295799;0.006934;0.878597;1.007492;0.867524;8.570862;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:29.739Z;0.751888;0.000922;0.505997;0.0;1.258807;9499.371094;64.969734;76.010475;0.012842;0.971712;0.978232;0.850784;8.625147;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:34.647Z;0.791454;0.007266;0.005416;0.0;0.804136;9499.723633;887.228333;0.831284;0.023661;0.807566;0.904814;0.737556;8.629682;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:39.748Z;0.829048;0.004612;0.000273;0.164054;0.997987;9499.821289;82.24572;53.62653;0.013979;0.782353;1.054086;0.753689;8.601049;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:44.734Z;0.987335;3e-06;0.009282;0.0;0.99662;9501.462891;34.609024;95.275642;0.02737;1.037165;0.692977;0.862246;8.668183;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:49.864Z;0.977445;0.010087;0.004051;0.0;0.991583;9500.640625;79.936829;56.356354;0.00545;0.862969;1.100361;0.807188;8.723115;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:10:54.837Z;0.866959;0.011057;0.002176;0.0;0.880192;9498.775391;100.11412;0.067113;0.014899;0.72673;1.116789;0.564898;8.724657;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:00.117Z;1.086441;0.000152;0.009686;1.9e-05;1.096298;9501.145508;94.147987;34.210724;0.034445;0.852063;1.077891;0.574172;8.673765;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:04.895Z;0.855873;0.006825;0.006383;1e-05;0.869091;9500.80957;51.478817;85.608055;0.025783;0.86212;0.934282;0.807243;8.724902;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:09.759Z;0.78228;0.011006;0.0;0.0;0.7932859999999999;9498.666992;99.922028;0.024425;0.03091;0.978443;1.072818;0.469795;8.71969;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:14.776Z;0.788346;0.00453;0.007811;0.0;0.800687;9499.702148;77.379616;60.794605;0.054341;0.949749;0.95282;0.823952;8.716622;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:19.734Z;0.895569;2e-06;0.0;0.0;0.8955709999999999;9499.272461;87.847527;4.079928;26.444342;0.904979;0.395081;3.579015;9.457272;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:24.808Z;1.070191;7e-06;0.010027;1e-06;1.080226;9501.158203;0.153561;99.930412;0.041151;0.997267;0.346503;0.937828;8.681494;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:29.790Z;1.003065;0.009761;0.003762;0.0;1.016588;9500.925781;68.570564;70.266579;0.041156;0.665619;1.04682;0.883427;8.737952;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:34.862Z;0.967011;0.010687;0.003049;5e-06;0.980752;9499.472656;100.12722;0.013686;0.022703;0.882726;1.136083;0.755989;8.746539;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:39.825Z;0.976325;0.0;0.009843;1.8e-05;0.986186;9500.96875;0.014445;99.946716;0.026565;0.926772;0.378716;0.896022;8.717232;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:44.785Z;0.939468;0.007823;0.006006;2.3e-05;0.95332;9498.124023;100.009026;0.017;0.025357;0.978528;1.064567;0.411259;8.773479;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:49.829Z;0.886835;0.011048;3e-06;0.0;0.897886;9500.145508;67.720581;72.224525;0.121618;1.002228;1.068929;0.448209;8.741821;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:54.871Z;0.789556;0.000156;0.009023;0.0;0.7987350000000001;9500.177734;0.06019;99.973518;0.019384;0.686031;0.335442;0.932394;8.773687;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:11:59.753Z;0.944357;2e-05;0.009655;0.0;0.954032;9499.50293;35.218552;94.223053;0.053394;1.031876;0.704777;0.889816;8.603075;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:12:04.818Z;0.935043;0.010127;0.003813;0.0;0.9489829999999999;9500.435547;77.757484;60.618633;0.001442;1.083376;1.086483;0.876283;8.635467;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:12:09.871Z;0.924879;0.011355;0.001661;3.3e-05;0.937928;9499.695313;100.176727;0.077589;0.0347;0.860979;1.098727;0.566029;8.705825;_N_DEMO_UC_3_7_MPF;1;nan
2023-01-11T15:12:14.920Z;0.957576;0.0002;0.010151;0.0;0.967927;9500.882813;93.843964;34.176353;0.03067;0.799796;1.06976;0.754778;8.685188;_N_DEMO_UC_3_7_MPF;1;nan
